Idno,Year,Month,FIPS,Locality,HouseholdsServed,IndividualsServed,PoundsFoodDistributed,childserevedNFNP,PoundsfoodNFNP,Latitude,Longitude,MTWStatus,Geopoint
1395,2020,August,720.0,Norton City,497.0,1505.0,23182.2,0.0,0.0,36.9315489,-82.625996,Matching and updated,POINT (-82.625996 36.9315489)
1396,2019,January,139.0,PAGE COUNTY,166.0,536.0,54332.27,0.0,0.0,38.6237508,-78.4904708,Matching and updated,POINT (-78.4904708 38.6237508)
1397,2019,August,125.0,Nelson County,562.0,1038.0,37756.98,0.0,0.0,37.7900492,-78.8793535,Matching and updated,POINT (-78.8793535 37.7900492)
1398,2020,December,81.0,Greensville County,58.0,221.0,344848.0,0.0,0.0,36.6802247,-77.5602607,Matching and updated,POINT (-77.5602607 36.6802247)
1399,2020,May,5.0,Alleghany County,192.0,563.0,22189.7,0.0,0.0,37.7879048,-80.008669,Matching and updated,POINT (-80.008669 37.7879048)
1400,2019,June,29.0,Buckingham County,911.0,1738.0,38259.72,0.0,0.0,37.573928,-78.5291687,Matching and updated,POINT (-78.5291687 37.573928)
1401,2021,February,193.0,Westmoreland County,299.0,765.0,5933.0,0.0,0.0,38.109238,-76.8040731,Matching and updated,POINT (-76.8040731 38.109238)
1402,2019,September,139.0,PAGE COUNTY,377.0,713.0,44349.85,0.0,0.0,38.6237508,-78.4904708,Matching and updated,POINT (-78.4904708 38.6237508)
1403,2019,January,595.0,Emporia City,66.0,120.0,17317.0,0.0,0.0,36.696182,-77.5359753,Matching and updated,POINT (-77.5359753 36.696182)
1404,2019,January,840.0,Winchester City,3168.0,8676.0,128595.1,194.0,5173.0,39.1738688,-78.1763562,Matching and updated,POINT (-78.1763562 39.1738688)
1405,2019,February,97.0,King and Queen County,162.0,328.0,186588.0,0.0,0.0,37.7143698,-76.901863,Matching and updated,POINT (-76.901863 37.7143698)
1406,2019,April,191.0,Washington County,1477.0,4243.0,70822.15,117.0,402.0,36.7478314,-81.9503155,Matching and updated,POINT (-81.9503155 36.7478314)
1407,2020,August,83.0,Halifax County,426.0,1098.0,27683.0,0.0,0.0,36.766461,-78.9396142,Matching and updated,POINT (-78.9396142 36.766461)
1408,2020,February,670.0,Hopewell City,0.0,1036.0,0.0,0.0,0.0,37.2910098,-77.2989443,Matching and updated,POINT (-77.2989443 37.2910098)
1409,2020,November,191.0,Washington County,1742.0,6099.0,74062.28,80.0,0.0,36.7478314,-81.9503155,Matching and updated,POINT (-81.9503155 36.7478314)
1410,2020,November,840.0,Winchester City,2443.0,7782.0,149147.54,117.0,4731.0,39.1738688,-78.1763562,Matching and updated,POINT (-78.1763562 39.1738688)
1411,2020,February,45.0,Craig County,52.0,55.0,5366.0,38.0,0.0,37.4731287,-80.231734,Matching and updated,POINT (-80.231734 37.4731287)
